index,file_name,program_name,start_time,end_time,speaker,transcription,start_time_ms,end_time_ms
11,13.wav,حملة ضد مونديال قطر,00:03:53.220000,00:04:05.010000,Speaker 6,نقدر نقول أن فيها عنصرية بشكل كبير أن دولة مثل قطر دولة عربية إسلامية، دولة صغيرة، قدرت أنها هي تقارع وتنافس دول كبيرة يشوفون أنهم هم أحق بإستضافة هذه البطولة,453000,255000
14,16.wav,حملة ضد مونديال قطر,00:06:22.940000,00:06:27.740000,تركي القحطاني,قبل أن ننهي الحلقة هذه أخبار على السريع,1322000,1127000
16,20.wav,حملة ضد مونديال قطر,00:07:22.400000,0:07:34.556735,تركي القحطاني,وحررها محمود أبو ندى نشوفكم بكرة الفجر,842000,1010735
18,22.wav,الأرجنتين أبطال كأس العالم 2022,00:02:00.060000,00:02:00.840000,عبيدالله العيسي,يا هلا وسهلا.,180000,960000
19,23.wav,الأرجنتين أبطال كأس العالم 2022,00:02:00.840000,00:02:02.400000,خالد القحطاني,هل أنت سعيد بميسي؟,960000,522000
20,24.wav,الأرجنتين أبطال كأس العالم 2022,00:02:02.400000,00:02:03.930000,عبيدالله العيسي,مين اللي ماهو سعيد لميسي؟,522000,1053000
21,25.wav,الأرجنتين أبطال كأس العالم 2022,00:02:03.930000,00:02:04.800000,خالد القحطاني,كثير اللي ماهم سعيدين.,1053000,924000
25,29.wav,الأرجنتين أبطال كأس العالم 2022,00:05:14.230000,00:05:14.740000,خالد القحطاني,صحيح.,544000,1054000
27,32.wav,الأرجنتين أبطال كأس العالم 2022,00:08:03.940000,00:08:04.510000,عبيدالله العيسي,صحيح.,1423000,994000
28,33.wav,الأرجنتين أبطال كأس العالم 2022,00:08:04.510000,00:08:29.260000,خالد القحطاني,إنه ميسي هو اللي يشيلها، لأنه كأس العالم الجاي بيكون مختلف على مستوى ثمانية وأربعين فريق على ما أعتقد، يُقام على الأغلب في ثلاث دول، ما راح يُقام حتى في، عاد أتكلم هنا عن النسخة اللي ما بعد النسخة القادمة، وبعد ذلك بتدخل حتى مسابقة الفيفا للأندية وبتحاول الفيفا إنها تكبِّر شيء اسمه مسابقة أندية وتخليها كل أربع سنوات مكان كأس القارات. فهذه الحُقبة واضح إنها جالسة تقفل صفحاتها.,994000,769000
29,34.wav,الأرجنتين أبطال كأس العالم 2022,00:08:29.260000,00:08:29.860000,عبيدالله العيسي,صحيح.,769000,1369000
30,35.wav,الأرجنتين أبطال كأس العالم 2022,00:08:29.860000,00:08:42.190000,خالد القحطاني,يمكن تدخل بعدين في سالفة إنه بيتغير شكل الكأس، ما تدري صراحة. لكن كان من جمالها بالنسبة لي إنه ميسي يترك هذا الكأس في مسيرته لأنه لو ختم مسيرته وتقفَّلت هذه الحقبة تمامًا فيه ظلم صراحة.,1369000,712000
34,41.wav,الأرجنتين أبطال كأس العالم 2022,00:11:48.470000,00:11:48.740000,خالد القحطاني,صحيح.,1178000,1448000
36,43.wav,الأرجنتين أبطال كأس العالم 2022,00:12:42.970000,00:12:45.430000,خالد القحطاني,ومع جيل أبو علي ترى ماهو مرشَّح.,1732000,1195000
37,44.wav,الأرجنتين أبطال كأس العالم 2022,00:12:45.430000,00:12:46.780000,عبيدالله العيسي,عاد موضوع الجيل هذا.,1195000,1546000
39,46.wav,الأرجنتين أبطال كأس العالم 2022,00:13:29.110000,00:13:29.350000,عبيدالله العيسي,صحيح.,919000,1159000
40,47.wav,الأرجنتين أبطال كأس العالم 2022,00:13:29.350000,00:13:53.830000,خالد القحطاني,لأنه في 1950 على ما أعتقد 25% بس من الشعب الأرجنتيني هو اللي من جذور أرجنتينية. بعد كأس العالم مارادونا هو اللي وحَّدهم. فلما يصير الضغط على ميسي إنه أنت اللي مفروض تروح تجيب كأس عالم عشان هذا -خلَّنا نقول- عشان تستمر توحيد صفوف الأرجنتين أعتقد إنه هو قمة الضغط، وخصوصًا لمّا ينقال لك أنت مولود أو عندك أصول إيطالية، بعد ذلك رحت لأسبانيا.,1159000,1663000
41,48.wav,الأرجنتين أبطال كأس العالم 2022,00:13:53.830000,00:13:55.600000,عبيدالله العيسي,تعرف هالسالفة زي سالفة خلّك زي أخوك الكبير؟,1663000,1435000
42,50.wav,الأرجنتين أبطال كأس العالم 2022,00:13:55.790000,00:14:03.220000,عبيدالله العيسي,إنه دائمًا فيه مثل أعلى أنت لابد أن تصل إليه. والمشكلة إنه المثل الأعلى هذا شق طريقة بدون ضغوط، بينما أنت عليك كل الضغط إنك لازم تكون زيه.,1625000,1063000
43,51.wav,الأرجنتين أبطال كأس العالم 2022,00:14:03.220000,00:14:35.380000,خالد القحطاني,وأنت في جيل أو وقت أصعب بكثير من جيل، يعني مثلًا مارادونا لما لعب عام 1994 وكان قبله 1990، أربع سنوات ما بين المونديالين، سنة وقَّف، سنة لعب في اشبيلية، ثم رجع لبوكا، درَّب فترة، ثم رد. يعني شفت اللي مستحيل تسير في نظام احتراف الحين. يعني حتى فترته في إيطاليا كان تدريبات ثلاثة أيام بس، ما كانت على مدار الأسبوع. بينما أنت الحين ميسي في جيل وعمر خمسة وثلاثين سنة قمة تطور كرة القدم تقنيًا، وأنت مطلوب إنك في الأندية تكون أفضل شيء، وتكمِّل هذا بكأس العالم، فالموضوع أصعب بكثير.,1063000,1255000
45,53.wav,الأرجنتين أبطال كأس العالم 2022,00:15:10.270000,00:15:12.190000,خالد القحطاني,أتوقَّع لاوتارو مارتينيز.,1180000,1102000
47,55.wav,الأرجنتين أبطال كأس العالم 2022,00:16:04.070000,00:16:04.700000,خالد القحطاني,أكونيا.,1034000,1664000
49,58.wav,الأرجنتين أبطال كأس العالم 2022,00:19:59.990000,00:20:05.190000,عبيدالله العيسي,الفكرة يا أبو سعود أن ميسي كان موجود دائمًا، وش معنى هالمرة إنها طلعت أفضل نسخة؟,2189000,1395000
50,59.wav,الأرجنتين أبطال كأس العالم 2022,00:20:05.190000,00:20:06.120000,خالد القحطاني,المنظومة ساعدته أكيد.,1395000,1326000
52,61.wav,الأرجنتين أبطال كأس العالم 2022,00:21:10.290000,00:21:12.930000,خالد القحطاني,سامباولي اللي هو درَّبهم في المونديال الماضي؟,1560000,2202000
54,63.wav,الأرجنتين أبطال كأس العالم 2022,00:23:02.310000,00:23:33.170000,خالد القحطاني,وأضيف شيء أبو علي: واضح إنه بينه وبين اللعيبة كذا لغة تقارب رائعة جدًا. سكالوني واحد من الناس اللي كل لاعب يُقحِمه سواًء مثلًا اليوم مثلًا ما أقحم دي بول لمّا نزَّل ماك ألكاسير وإنزو إنهم يعطون كل اللي عندهم، حتى على مستوى تبديلاته، وإن كنت يعني مثلًا اليوم محَّد توقَّع إنه ديبالا يبدأ بشكل أساسي بس يوم بدأ بشكل أساسي شفنا إنه هدد دي ماريا، لكن أعتقد برضه مثل ما ذكرت أنت يا أبو علي إنه واحد من رجال هذا المونديال هو في إيمليانو مارتينيز.,1692000,1583000
55,64.wav,الأرجنتين أبطال كأس العالم 2022,00:23:33.170000,00:23:33.770000,عبيدالله العيسي,أكيد.,1583000,2183000
57,69.wav,الأرجنتين أبطال كأس العالم 2022,00:27:08.900000,00:27:09.170000,خالد القحطاني,أبدًا.,2528000,1799000
58,70.wav,الأرجنتين أبطال كأس العالم 2022,00:27:09.170000,00:27:20.150000,عبيدالله العيسي,يعني كان حارس بديل، وما كانت عنده ذيك المسيرة العظيمة. شوف بعد أربع سنوات هو اليوم أفضل حارس في كأس العالم. صانع لحظة تاريخية للأرجنتينيين عمرهم ما راح ينسونها له. فبالتالي.,1799000,1790000
60,72.wav,الأرجنتين أبطال كأس العالم 2022,00:28:39.110000,00:28:44.000,عبيدالله العيسي,يمكن أكثر واحد مسيرته يمكن تذكرني في مارتينيز هو جيمي فاردي.,1829000,1724000
62,77.wav,الأرجنتين أبطال كأس العالم 2022,00:29:52.850000,00:29:53.330000,خالد القحطاني,أعوذ بالله، ايش قصدك؟,2642000,2123000
63,78.wav,الأرجنتين أبطال كأس العالم 2022,00:29:53.330000,00:30:12.110000,عبيدالله العيسي,الشخصية اللي عنده، وحضوره في المباراة أعتقد إنه حرفيًا في المباراة هذه أعتقد إنه اللقطة هذه معبِّرة. يعني ميسي سلَّم راية نجومية كرة القدم فعليًّا للاعب زي كيليان مبابي بعمر ثلاثة وعشرين سنة اليوم عنده كم واصل؟ اثنا عشر هدف في كؤوس العالم؟,2123000,1922000
64,79.wav,الأرجنتين أبطال كأس العالم 2022,00:30:12.110000,00:30:12.470000,خالد القحطاني,صحيح.,1922000,2282000
68,84.wav,الأرجنتين أبطال كأس العالم 2022,00:35:38.080000,00:36:06.070000,عبيدالله العيسي,تذكر لمّا تكلمنا عن توظيف هندرسون بس من أجل أنه هو كل ما يطلع يحتوي مبابي. المنتخب المغربي لأول مرة في البطولة ينزل ضدك بلثلاثة مراكز، عشان يضيف مدافع في الخلف عشان أشرف حكيمي مع مدافع آخر يقدرون يغطّون مبابي؟ بصراحة إنه يكون هذا أدائك، ويكون هذا تأثيرك، وهذا احترام المنافسين لك وأنت عمرك ثلاثة وعشرين سنة هذا يدل على إنه إذا أنت وفِّقت في المرحلة الجاية إنه تحافظ على نفسك وتختار النادي المناسب وتكون لك مسيرة عظيمة.,2218000,2236000
69,85.wav,الأرجنتين أبطال كأس العالم 2022,00:36:06.070000,00:36:06.820000,خالد القحطاني,أبو علي قصدك ريال مدريد؟,2236000,2986000
72,88.wav,الأرجنتين أبطال كأس العالم 2022,00:39:11.300000,00:39:36.760000,عبيدالله العيسي,ولاعب المواعيد الكبرى، يعني الناس تتذكر نهائي لشبونة، تتذكر راموس، تتذكر مودريتش العام اللي أسسته لراموس، تتذكر كريستيانو رونالدو، يتذكرون كثير من اللاعبين اللي كانوا موجودين، بس وقتها دي ماريا هو اللي أخذ جائزة أفضل لاعب في المباراة، وقدَّم مباراة عظيمة جدًا في أتلتيكو مدريد في النهائي، فهو لاعب هو دائمًا معتاد إنه في المباريات الكبيرة يعطيك أفضل أداء عنده وأنا متأكد إنه تغيره لعمل سكالوني بالمقام الأول هو باتين.,2651000,3136000
73,89.wav,الأرجنتين أبطال كأس العالم 2022,00:39:36.760000,00:39:37.060000,خالد القحطاني,صحيح.,3136000,2437000
75,91.wav,الأرجنتين أبطال كأس العالم 2022,00:40:30.880000,00:40:56.590000,خالد القحطاني,أنا أقول إنه لحظة خروج دي ماريا هو أفضل لاعب في المبارة، لكن كل شيء بيروح لميسي هو يستحقه صراحة في هذه البطولة. يعني أنا وأنا أتفرج على هذه اللحظة بيشيل فيها في يده اليسرى جائزة أفضل لاعب في البطولة باستحقاق واحد من سبع مباريات أخذ خمس مرات أفضل لاعب، وفي يده اليمنى كأس العالم أقول إنه مافي مشهد أكثر كمال من هذا صراحة.,3310000,3046000
76,93.wav,الأرجنتين أبطال كأس العالم 2022,00:40:56.800000,00:41:01.060000,خالد القحطاني,إيه أنه يأخذ ميسي، هو أصلًا كان رايح.,3256000,2521000
77,94.wav,الأرجنتين أبطال كأس العالم 2022,00:41:01.060000,00:41:07.630000,عبيدالله العيسي,تذكرت قول الشاعر اللي يقول «نظري إلى وجه الحبيب نعيمُ» تحس إنه كذا هو يناظر كأس العالم وهو ما ودَّه.,2521000,3097000
78,95.wav,الأرجنتين أبطال كأس العالم 2022,00:41:07.630000,00:41:10.020000,خالد القحطاني,وخصوصًا إنه لبس بشت، فعلًا شاعري.,3097000,2490000
79,96.wav,الأرجنتين أبطال كأس العالم 2022,00:41:10.020000,00:41:12.940000,عبيدالله العيسي,أنا أعتقد إنه لقطة البطولة بالنسبة لي هي اللقطة هذه.,2490000,3412000
80,97.wav,الأرجنتين أبطال كأس العالم 2022,00:41:12.940000,00:41:13.410000,خالد القحطاني,البشت؟,3412000,2883000
81,98.wav,الأرجنتين أبطال كأس العالم 2022,00:41:13.410000,00:41:41.400000,عبيدالله العيسي,إنه لقطة لما ميسي لبس البشت. يعني أنا أقول شكرًا قطر. يعني بدأنا كأس العالم أبو سعود بإنه حفل الافتتاح اللي هو أشبه بالعزيمة الكبيرة كان في خيمة استاد البيت، ختام إنه الرجال المعرس اللي هو بيشيل البشت، بيشيل كأس العالم عفوًا تلبَّس البشت قبل لا يروح يشيل كأس العالم. أكثر من كذا تعزيز للهوية العربية، وإظهارها وإبرازها للعالم مافي.,2883000,2901000
82,99.wav,الأرجنتين أبطال كأس العالم 2022,00:41:41.400000,00:41:41.610000,خالد القحطاني,صحيح.,2901000,3111000
83,102.wav,الأرجنتين أبطال كأس العالم 2022,00:42:46.410000,00:42:47.040000,عبيدالله العيسي,المعرس.,2976000,2607000
84,103.wav,الأرجنتين أبطال كأس العالم 2022,00:42:47.040000,00:42:55.290000,خالد القحطاني,وهو يشل هذه البطولة بالبشت. صراحة إنها كانت لحظة أنا ما توقَّعتها، ولا توقَّعت ميسي بيشيله وهو لابس البشت، ولكنه كان صراحة جدًا عظيم.,2607000,2865000
85,104.wav,الأرجنتين أبطال كأس العالم 2022,00:42:55.290000,00:42:56.690000,عبيدالله العيسي,شيخ مشائخ كرة القدم. يستاهل.,2865000,3266000
87,106.wav,الأرجنتين أبطال كأس العالم 2022,00:44:37.260000,00:44:39.180000,عبيدالله العيسي,حملوا الكرة الذهبية يا رجل بكبرها.,2937000,2859000
88,107.wav,الأرجنتين أبطال كأس العالم 2022,00:44:39.180000,00:44:58.260000,خالد القحطاني,إيه خمسة أو ستة لو يجون، خّلْ بنزيما وغيره بحكم بنزيما مصاب، فيهم خمسة أو ستة طالعين من منتخب فرنسا لو إنهم في يد سكالوني اليوم يلعبون أساسيين، لكن في اللحظة اللي ميسي تقريبًا، ما ودِّي أقول وحيد، بس جزء كبير من الأرجنتين كله يُصب عليه، يقاتل حتى آخر رمق إنه يسجِّل الهدف الثالث ويتعادل.,2859000,2958000
89,111.wav,الأرجنتين أبطال كأس العالم 2022,00:45:11.910000,00:45:13.230000,خالد القحطاني,وأنت مُعلِن بعد إنها آخر مشاركة.,3621000,2943000
91,114.wav,الأرجنتين أبطال كأس العالم 2022,00:46:53.150000,00:46:55.640000,عبيدالله العيسي,نهائي في مسيرته كلها؟,2963000,3455000
92,116.wav,الأرجنتين أبطال كأس العالم 2022,00:46:57.860000,00:46:58.550000,عبيدالله العيسي,ستة؟,3677000,3368000
93,117.wav,الأرجنتين أبطال كأس العالم 2022,00:46:58.550000,00:47:14.780000,خالد القحطاني,سبعة، سبع نهائيات، يا دوب جاء كأس العالم، وتتكلم عن إنه مافي إلا آخر ثلاث نهائيات منها؛ اللي هي كأس الكوبا، بعد ذلك الأبطال قدَّام إيطاليا، ثم الآن كأس العالم. قبلها كان في خمس نهائيات كان فيها نكسات، فيها ثنتين أو مرتين تتقابل تشيلي على ركلات الترجيح.,3368000,3614000
94,118.wav,الأرجنتين أبطال كأس العالم 2022,00:47:14.780000,00:47:15.020000,عبيدالله العيسي,صحيح.,3614000,2855000
95,119.wav,الأرجنتين أبطال كأس العالم 2022,00:47:15.020000,00:47:19.910000,خالد القحطاني,ما تدري وش ممكن يصير، مافي يدك شيء أصلًا، وفيها لحظات أصعب إنك تحط.,2855000,3749000
97,123.wav,الأرجنتين أبطال كأس العالم 2022,00:50:11.280000,00:50:14.270000,خالد القحطاني,أحسها نفس عشوائية ساوثغيت لما أُقيل.,3291000,3284000
98,125.wav,الأرجنتين أبطال كأس العالم 2022,00:50:14.750000,00:50:16.520000,خالد القحطاني,مدرِّب إنجلترا بعد ذلك أخذ الفرصة.,3764000,3536000
100,128.wav,الأرجنتين أبطال كأس العالم 2022,00:52:01.640000,00:52:28.700000,عبيدالله العيسي,مع إنه تاريخيًا البرازيل تفوق على الأرجنتين هذا ما فيه نقاش. ولكن بسبب وجود ميسي كان دائمًا فيه ضغط أكبر على الأرجنتين من البرازيل. ولذلك إن فشلت مرة، ثانية، وثالثة ترى في نهاية الأمر بتنجح لأنك تملك الإصرار، وتحس إنه عليك ضغط أكبر، ومطالبة أكبر، فبالتالي ترى هي في الغالب بقدر ما هي مؤذية، بقدر ما هي مزعجة، بقدر ما هي بتخلِّي خيبتك أكبر لما تفشل، لكن ترى هي اللي بتوصِّلك بعدين.,3761000,3848000
101,129.wav,الأرجنتين أبطال كأس العالم 2022,00:52:28.700000,00:52:30.470000,خالد القحطاني,أعظم أداء فردي؟,3848000,3620000
102,130.wav,الأرجنتين أبطال كأس العالم 2022,00:52:30.470000,00:52:32.120000,عبيدالله العيسي,في تاريخ كؤوس العالم اللي أنا عاصرته؟,3620000,3272000
103,131.wav,الأرجنتين أبطال كأس العالم 2022,00:52:32.120000,00:52:32.780000,خالد القحطاني,في النسخة يعني.,3272000,3932000
104,132.wav,الأرجنتين أبطال كأس العالم 2022,00:52:32.780000,00:52:33.740000,عبيدالله العيسي,أكيد.,3932000,3893000
105,133.wav,الأرجنتين أبطال كأس العالم 2022,00:52:33.740000,00:52:48.950000,خالد القحطاني,أتذكر المرة الماضية لما قلنا أعظم أداء ناس كثير كانوا يقولون زيدان قدَّام البرازيل، لكن أنا أتكلم هنا أرجع، نفس الكلام اللي قلناه في الحلقة الماضية، على مدى نسخة كاملة توِّجت اليوم بالرقم، إنه ساهم بكل مباريات، ساهم بدور المجموعات، بعد ذلك كل المباريات الأدوار الإقصائية.,3893000,4118000
106,134.wav,الأرجنتين أبطال كأس العالم 2022,00:52:48.950000,00:52:50.000,عبيدالله العيسي,ترى مباراة بولندا لم.,4118000,3170000
107,135.wav,الأرجنتين أبطال كأس العالم 2022,00:52:50.000,00:52:56.270000,خالد القحطاني,إيه، أتكلم على إنه ساهم بدور المجموعات، مباراة السعودية، ثم بعد ذلك مباراة المكسيك، في كل الأدوار الإقصائية مافي ولا لاعب.,3170000,3446000
108,137.wav,الأرجنتين أبطال كأس العالم 2022,00:53:09.860000,00:53:10.700000,خالد القحطاني,برّا البطولة.,4049000,3890000
109,138.wav,الأرجنتين أبطال كأس العالم 2022,00:53:10.700000,00:53:12.800000,عبيدالله العيسي,إيه، خلَّتهم كم لهم.,3890000,3992000
110,139.wav,الأرجنتين أبطال كأس العالم 2022,00:53:12.800000,00:53:20.500000,خالد القحطاني,لا، وأزيد على ذلك بعد أبو علي، إحنا نتكلم عن الأرجنتين اليوم عندها مع أهداف اليوم خمسة عشر هدف.,3992000,3700000
111,140.wav,الأرجنتين أبطال كأس العالم 2022,00:53:20.500000,00:53:23.500000,عبيدالله العيسي,هو مساهم في عشرة، عشرة وسجَّل سبعة وصنع ثلاثة.,3700000,3703000
112,141.wav,الأرجنتين أبطال كأس العالم 2022,00:53:23.500000,00:53:45.910000,خالد القحطاني,يعني واحد خمسة أهداف بس عند الأرجنتين عندهم ميسي، تشيل هذا يطيح ثلثين حصيلتهم التهديفية اللي ودتَّهم نهائي كأس العالم. فبلا أدنى قرين هذا أعظم أداء فردي أنا شفته للاعب في كأس العالم هذا كله وأنا مغمِّض عيوني عن عمره. أنا للحين ترى ما قلت عمره خمسة وثلاثين سنة.,3703000,4135000
113,142.wav,الأرجنتين أبطال كأس العالم 2022,00:53:45.910000,00:53:49.420000,عبيدالله العيسي,تلغي اليوم سالفة كرة القدم ليست عادلة.,4135000,3649000
114,143.wav,الأرجنتين أبطال كأس العالم 2022,00:53:49.420000,00:53:49.950000,خالد القحطاني,إيه صحيح.,3649000,4179000
115,144.wav,الأرجنتين أبطال كأس العالم 2022,00:53:49.950000,00:53:53.170000,عبيدالله العيسي,صارت عادلة، أعطت اللي يستحق.,4179000,3403000
116,145.wav,الأرجنتين أبطال كأس العالم 2022,00:53:53.170000,00:53:54.100000,خالد القحطاني,الله يعطيك الباقي أبو علي.,3403000,3334000
117,146.wav,الأرجنتين أبطال كأس العالم 2022,00:53:54.100000,00:53:54.910000,عبيدالله العيسي,الله يعافيك يا أبو سعود.,3334000,4144000
118,147.wav,الأرجنتين أبطال كأس العالم 2022,00:53:54.910000,00:53:57.220000,خالد القحطاني,هل مازال في جُعبتِك شيء؟,4144000,3457000
119,149.wav,الأرجنتين أبطال كأس العالم 2022,00:54:45.230000,00:54:46.510000,خالد القحطاني,أنا أشكرك أبو علي.,3515000,3796000
120,150.wav,الأرجنتين أبطال كأس العالم 2022,00:54:46.510000,00:54:46.900000,عبيدالله العيسي,شكرًا.,3796000,4186000
121,151.wav,الأرجنتين أبطال كأس العالم 2022,00:54:46.900000,00:55:00.220000,خالد القحطاني,كانت واحدة، مو واحدة هو أعظم قرار لي في المونديال هذا إني تجردت من كل شيء، من كل القنوات ولا طلعت وركزنا على مرتدة. صراحةً كان شيء جدًا سعيد فيه. كنت سعيد إني جلست معك على هالطاولة.,4186000,3520000
122,152.wav,الأرجنتين أبطال كأس العالم 2022,00:55:00.220000,00:55:00.970000,عبيدالله العيسي,وأنا أسعد.,3520000,4270000
124,155.wav,الأرجنتين أبطال كأس العالم 2022,00:56:45.490000,00:56:58.220000,خالد القحطاني,بإذن الله، بإذن الله الفترة الجاية بتكون مرتدة سمعية على تطبيق البودكاست في الدوري السعودي كما هو معتاد، فمن هنا بإذن الله إلى حلقة ما بعد الديربي الهلال والنصر، نلقاهم بإذن الله على خير. شكرًا لك أبو علي.,3895000,3638000
127,158.wav,لماذا ترتفع أسعار القهوة؟,00:00:58.890000,00:01:12.690000,أيمن الحمادي,لا الصدق إني ما أحتاج أفهم شيء من كلامك لأنه «مسبقًا» متخصص قانون لكني قاعد أشتغل بشيء مرة بعيد عن ذا الشيء قاعد أشتغل محتوى إعداد وكتابة فمرة بعيد عن الشيء الي درسته,948000,762000
128,159.wav,لماذا ترتفع أسعار القهوة؟,00:01:12.690000,00:01:20.410000,عمر العمران,لا بنسوي لك إن شاء الله حلقة في القانون عشان تستخدمه,762000,490000
129,160.wav,لماذا ترتفع أسعار القهوة؟,00:01:20.410000,00:01:28.030000,أيمن الحمادي,هذا بودكاست الفجر من ثمانية بودكاست فجر كل يوم نسرد لكم سياق الأخبار التي تهمكم. معكم أنا أيمن الحمادي.,490000,118000
130,161.wav,لماذا ترتفع أسعار القهوة؟,00:01:28.030000,00:01:40.990000,عمر العمران,وأنا عمر العمران، الخبر الأول اليوم يحكي عن فتاة إيرانية اسمها مهسا أميني عمرها اثنين وعشرين سنة. توفت بعد إلقاء شرطة الأخلاق القبض عليها بحجة أنه حجابها ما كان لائق.,118000,1090000
131,162.wav,لماذا ترتفع أسعار القهوة؟,00:01:40.990000,00:01:49.410000,أيمن الحمادي,والخبر الثاني إنخفاض قياسي في إمدادات البن البرازيلية.,1090000,519000
136,168.wav,لماذا ترتفع أسعار القهوة؟,00:09:08.050000,00:09:09.980000,عمر العمران,لا ما عليك ما يحتاج.,598000,1529000
137,169.wav,لماذا ترتفع أسعار القهوة؟,00:09:09.980000,00:09:31.220000,أيمن الحمادي,دامك تحب القهوة وتعرفها فالمفترض إنك تعرف إن هناك أنواع كثيرة لها. من أشهرها الأرابيكا والروبوستا، الأرابيكا هذه انخفضت مخزوناتها في مستودعات الموانئ إلى أدنى مستوى لها من تقريبًا ثلاثة وعشرين عام. آسف لك زي ما يقولون لكن يبغى لك تضبط وضعك من الحين لإن أسعارها سترتفع.,1529000,791000
138,170.wav,لماذا ترتفع أسعار القهوة؟,00:09:31.220000,00:09:31.970000,عمر العمران,والله مخيف الموضوع الصدق,791000,1541000
142,175.wav,لماذا ترتفع أسعار القهوة؟,00:14:12.350000,00:14:24.730000,أيمن الحمادي,عن بعد والساعة مدري كم الحين بيزعل علينا رئيس تحرير. أنتج هذه الحلقة نايف العصيمي وعيسى نهاري وقدمتها أنا أيمن الحمادي.,1202000,1594000
143,177.wav,لماذا ترتفع أسعار القهوة؟,00:14:26.080000,0:14:38.733061,أيمن الحمادي,وحرّرها محمود أبو ندى، نشوفكم بكرة الفجر.,946000,1611061
144,178.wav,اتفاق تاريخي بين لبنان وإسرائيل,00:00:00.270000,00:00:19.650000,وفاء العبدالعالي,واحدة من أهم وأغرب الأسئلة اللي مخي سألها في الحياة إنه: كم عدد النمل الموجود في العالم؟ واستخدمت قوقل عشان أجاوب على هذا السؤال، ولقيت فعلًا أنه في دراسة أُجريت على عدد النمل الموجود في الكرة الأرضية كاملة.,270000,669000
145,179.wav,اتفاق تاريخي بين لبنان وإسرائيل,00:00:19.650000,00:00:19.920000,مشاري الحمود,شلون عدوها؟,669000,939000
